Action,Date,Type,ApplicationNumber,BankName,Location,City,State,County,EndCmtPd,Coordinates
Withdrawn,2020-04-08,Branch Establishment,2019-LB-BranchNew-308407,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2019-05-09,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-08,Branch Establishment,2020-LB-BranchNew-314198,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-08,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-08,Branch Establishment,2020-LB-BranchNew-314199,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-08,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-08,Business Combinations,2020-CE-Combination-313492,Nicolet NB,111 North Washington Street,Green Bay,WI,Brown,2020-04-03,"(44.515234, -88.0160728, 0.0)"
Receipt,2020-04-08,Business Combinations,2020-CE-Combination-314178,Nicolet NB,111 North Washington Street,Green Bay,WI,Brown,2020-05-08,"(44.515234, -88.0160728, 0.0)"
Approved,2020-04-08,Business Combinations,2020-NE-Combination-313418,Northfield Bank,1731 Victory Boulevard,Staten Island,NY,Richmond,2020-03-25,"(40.6133205, -74.1212483, 0.0)"
Receipt,2020-04-09,Relocation,2020-LB-Relocation-314207,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-04-23,"(41.82745745, -71.41072382816702, 0.0)"
Consummated/Effective,2020-04-09,Branch Establishment,2020-SO-BranchNew-312556,First NB Texas,507 N. Gray,Killeen,TX,Bell,2020-02-05,
Consummated/Effective,2020-04-09,Branch Closings,2019-LB-BranchClosing-312418,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, ,"(40.14265239664577, -82.98892639120868, 0.0)"
Consummated/Effective,2020-04-09,Branch Closings,2020-LB-BranchClosing-314251,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, ,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-09,Branch Closings,2020-LB-BranchClosing-314234,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha, ,
Receipt,2020-04-09,Relocation,2020-LB-Relocation-314205,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2020-05-11,
Approved,2020-04-10,Branch Establishment,2020-LB-BranchNew-313679,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-04-08,
Approved,2020-04-10,Branch Establishment,2020-LB-BranchNew-313680,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-04-08,
Receipt,2020-04-10,Subsidiaries & Equities,2020-LB-Subs&Equities-314238,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, ,"(38.924485063065454, -77.21255699396264, 0.0)"
Receipt,2020-04-10,Subsidiaries & Equities,2020-LB-Subs&Equities-314239,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, ,"(38.924485063065454, -77.21255699396264, 0.0)"
Receipt,2020-04-10,Subsidiaries & Equities,2020-LB-Subs&Equities-314240,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, ,"(38.924485063065454, -77.21255699396264, 0.0)"
Consummated/Effective,2020-04-10,Business Combinations,2020-SO-Combination-313112,First NB,3801 Fairway Boulevard,Wichita Falls,TX,Wichita,2020-03-06,"(33.8736473, -98.5599583699123, 0.0)"
Approved,2020-04-10,Branch Establishment,2020-LB-BranchNew-313748,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-09,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-10,Branch Establishment,2020-LB-BranchNew-313749,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-08,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-10,Branch Establishment,2020-LB-BranchNew-314215,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-09,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-10,Branch Establishment,2020-LB-BranchNew-314221,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-09,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-10,Branch Establishment,2020-LB-BranchNew-314222,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-09,"(40.14265239664577, -82.98892639120868, 0.0)"
Receipt,2020-04-10,Relocation,2020-CE-Relocation-314228,"Lake Forest Bank & TR Company, NA",727 North Bank Lane,Lake Forest,IL,Lake,2020-04-26,"(42.25297226315789, -87.84128452631579, 0.0)"
Receipt,2020-04-10,Branch Establishment,2020-CE-BranchNew-314230,"Wintrust Bank, NA",231 South LaSalle Street,Chicago,IL,Cook,2020-05-11,"(41.878598998936454, -87.63215891463547, 0.0)"
Consummated/Effective,2020-04-10,Branch Closings,2019-WE-BranchClosing-312167,"Zions Bancorporation, NA",One South Main Street,Salt Lake City,UT,Salt Lake, ,"(40.7376233, -111.8910702, 0.0)"
Receipt,2020-04-13,Branch Establishment,2020-LB-BranchNew-314244,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-13,
Withdrawn,2020-04-13,Relocation,2020-LB-Relocation-314207,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-04-23,"(41.82745745, -71.41072382816702, 0.0)"
Approved,2020-04-13,Branch Establishment,2020-NE-BranchNew-313722,"Dollar Bank, FSB","3 Gateway Center, 9-West",Pittsburgh,PA,Allegheny,2020-03-28,
Receipt,2020-04-13,Subsidiaries & Equities,2020-WE-Subs&Equities-314247,"MetaBank, NA",5501 South Broadband Lane,Sioux Falls,SD,Minnehaha, ,"(43.4961999, -96.788395, 0.0)"
Consummated/Effective,2020-04-13,Branch Establishment,2020-SO-BranchNew-312808,Thomasville NB,301 North Broad Street,Thomasville,GA,Thomas,2020-02-13,"(30.839354, -83.982036, 0.0)"
Approved,2020-04-13,Branch Establishment,2020-LB-BranchNew-314092,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton,2020-04-11,"(39.10049687755102, -84.5112548367347, 0.0)"
Withdrawn,2020-04-17,New Bank Charter,2020-NE-Charter-313854,"Altis TR Bank, NA",450 West 33rd Street,New York,NY, ,2020-04-17,"(40.75352114285714, -73.99891471428572, 0.0)"
Receipt,2020-04-17,Branch Closings,2020-LB-BranchClosing-314289,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg, ,
Receipt,2020-04-17,Branch Closings,2020-LB-BranchClosing-314291,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg, ,
Receipt,2020-04-17,Relocation,2020-LB-Relocation-314290,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-17,
Receipt,2020-04-17,Relocation,2020-LB-Relocation-314293,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-17,
Approved,2020-04-17,Relocation,2020-LB-Relocation-314077,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton,2020-04-13,"(39.10157495, -84.51218026902674, 0.0)"
Receipt,2020-04-17,Subsidiaries & Equities,2020-LB-Subs&Equities-314241,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton, ,"(39.10157495, -84.51218026902674, 0.0)"
Consummated/Effective,2020-04-17,Business Combinations,2020-WE-Combination-312651,First NB in Creston,101 West Adams,Creston,IA,Union,2020-03-06,
Consummated/Effective,2020-04-17,Business Combinations,2020-CE-Combination-313263,First NB Minnesota,226 West Nassau Street,St. Peter,MN,Nicollet,2020-03-14,"(44.32438555, -93.95853912017054, 0.0)"
Intent Not to Disapprove (CBCA),2020-04-17,Change in Bank Control,2020-CE-CBCA-312911,First NB of Germantown,17 N. Main Street,Germantown,OH,Montgomery,2020-03-03,"(39.62534555, -84.37076191081167, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312785,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312791,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312792,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312793,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312794,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312795,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312796,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312797,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312798,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312799,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312801,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312802,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312803,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312805,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-NE-BranchClosing-312806,First NB of Pennsylvania,166 Main Street,Greenville,PA,Mercer, ,"(41.40483725, -80.3900335, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-CE-BranchClosing-312943,"Hinsdale Bank & TR Company, NA",25 East First Street,Hinsdale,IL,Dupage, ,
Approved,2020-04-17,Branch Establishment,2020-LB-BranchNew-313931,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-16,"(40.14265239664577, -82.98892639120868, 0.0)"
Consummated/Effective,2020-04-17,Business Combinations,2020-CE-Combination-313283,Old Plank Trail Community Bank NA,20012 Wolf Road,Mokena,IL,Will,2020-03-15,"(41.52618549542431, -87.88934262774312, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-LB-BranchClosing-312653,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, ,"(39.7462653, -75.549732, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-LB-BranchClosing-312654,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, ,"(39.7462653, -75.549732, 0.0)"
Receipt,2020-04-17,Branch Closings,2020-LB-BranchClosing-314220,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle, ,"(39.7462653, -75.549732, 0.0)"
Receipt,2020-04-17,Relocation,2020-LB-Relocation-314223,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-05-17,"(39.7462653, -75.549732, 0.0)"
Consummated/Effective,2020-04-17,Branch Closings,2020-LB-BranchClosing-312638,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle, ,
Consummated/Effective,2020-04-17,Branch Closings,2020-LB-BranchClosing-312645,"Santander Bank, NA","824 N. Market Street, Suite 100",Wilmington,DE,New Castle, ,
Consummated/Effective,2020-04-17,Business Combinations,2020-CE-Combination-313281,"Wintrust Bank, NA",231 South LaSalle Street,Chicago,IL,Cook,2020-03-15,"(41.878598998936454, -87.63215891463547, 0.0)"
Approved,2020-04-20,Branch Establishment,2020-CE-BranchNew-313954,Cornerstone NB & Tr Co,One West Northwest Highway,Palatine,IL,Cook,2020-04-15,"(42.1239022, -88.0539768, 0.0)"
Consummated/Effective,2020-04-20,Branch Establishment,2019-WE-BranchNew-309220,Security NB of Omaha,1120 S. 101st Street,Omaha,NE,Douglas,2019-07-02,"(41.2475489, -96.07127165188949, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-SO-BranchNew-313673,First NB Texas,507 N. Gray,Killeen,TX,Bell,2020-04-11,
Approved,2020-04-21,Relocation,2020-LB-Relocation-313840,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax,2020-04-18,"(38.92253005, -77.22256757939189, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-313933,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-18,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-313934,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-18,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-313935,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-18,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-314061,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-19,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-LB-BranchNew-314066,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-04-19,"(40.14265239664577, -82.98892639120868, 0.0)"
Approved,2020-04-21,Branch Establishment,2020-SO-BranchNew-313407,Lone Star NB,206 West Ferguson,Pharr,TX,Hidalgo,2020-04-14,
Approved,2020-04-22,Branch Establishment,2020-LB-BranchNew-313898,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-04-19,
